epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7783.99,1.01868,0.44646,0.98878,0.89436,0.7639,0.84754,0.53756,1.05567,0.51093,1.08527,0.004159,0.004159,0.004159
61,7913.8,1.01751,0.44786,0.98827,0.88788,0.77011,0.85197,0.54291,1.04609,0.50918,1.07746,0.00406,0.00406,0.00406
62,8043.68,1.01428,0.44591,0.98471,0.88729,0.76335,0.84924,0.54259,1.05224,0.51701,1.08096,0.003961,0.003961,0.003961
63,8173.01,1.00362,0.44186,0.98435,0.88741,0.76717,0.84935,0.54165,1.04838,0.5126,1.07747,0.003862,0.003862,0.003862
64,8302.38,1.00329,0.44116,0.98121,0.88222,0.77365,0.85016,0.54055,1.04698,0.51378,1.07896,0.003763,0.003763,0.003763
65,8432.02,1.00233,0.44106,0.9796,0.89306,0.76852,0.85053,0.54363,1.04569,0.51428,1.08015,0.003664,0.003664,0.003664
66,8562.31,1.00138,0.43957,0.98101,0.88742,0.76501,0.84981,0.54502,1.03864,0.51364,1.07531,0.003565,0.003565,0.003565
67,8691.62,0.99113,0.43494,0.98037,0.88283,0.77389,0.85234,0.54507,1.03775,0.51098,1.07464,0.003466,0.003466,0.003466
68,8822.16,0.99512,0.43861,0.97594,0.88354,0.77308,0.85188,0.54364,1.0388,0.5096,1.07525,0.003367,0.003367,0.003367
69,8951.94,0.98802,0.43512,0.9758,0.88526,0.77227,0.85451,0.54669,1.03355,0.50674,1.07316,0.003268,0.003268,0.003268
70,9081.31,0.98099,0.43146,0.97348,0.88838,0.7673,0.85194,0.54548,1.03378,0.51202,1.07178,0.003169,0.003169,0.003169
71,9210.84,0.97665,0.43016,0.97269,0.88797,0.76856,0.85246,0.54767,1.0308,0.50901,1.07281,0.00307,0.00307,0.00307
72,9340.35,0.97957,0.43111,0.97284,0.89044,0.76807,0.84987,0.54792,1.03099,0.50506,1.07423,0.002971,0.002971,0.002971
73,9470.15,0.97531,0.43026,0.97345,0.89093,0.76735,0.84868,0.54424,1.03618,0.50356,1.07891,0.002872,0.002872,0.002872
74,9599.7,0.97274,0.42835,0.97248,0.89225,0.76077,0.84506,0.54337,1.03894,0.50919,1.07959,0.002773,0.002773,0.002773
75,9728.9,0.96882,0.4279,0.97117,0.88665,0.76073,0.84364,0.54196,1.0351,0.51071,1.08022,0.002674,0.002674,0.002674
76,9858.58,0.96335,0.42464,0.96644,0.88848,0.76145,0.84621,0.54312,1.0343,0.50939,1.07797,0.002575,0.002575,0.002575
77,9988.2,0.96005,0.42388,0.9674,0.88712,0.76713,0.84921,0.54546,1.03537,0.50907,1.07931,0.002476,0.002476,0.002476
78,10118.7,0.96192,0.42386,0.96635,0.88481,0.76875,0.84969,0.54717,1.03308,0.50934,1.07598,0.002377,0.002377,0.002377
79,10248.3,0.95364,0.42068,0.96492,0.89191,0.76682,0.85153,0.55123,1.02592,0.51047,1.07381,0.002278,0.002278,0.002278
80,10378,0.94604,0.41902,0.96448,0.88903,0.76557,0.84987,0.54674,1.03228,0.51036,1.07795,0.002179,0.002179,0.002179
81,10507.2,0.94909,0.41972,0.96366,0.88618,0.76883,0.85076,0.54691,1.0336,0.50973,1.07886,0.00208,0.00208,0.00208
82,10636.4,0.94387,0.41504,0.96322,0.88687,0.76653,0.85202,0.54876,1.02966,0.51071,1.07497,0.001981,0.001981,0.001981
83,10766.5,0.94404,0.41711,0.96284,0.88675,0.76812,0.85192,0.54835,1.02908,0.50679,1.07661,0.001882,0.001882,0.001882
84,10895.9,0.94138,0.41622,0.95939,0.88273,0.77244,0.85221,0.54786,1.02993,0.50359,1.07871,0.001783,0.001783,0.001783
85,11025.4,0.93317,0.41231,0.95831,0.891,0.77056,0.85343,0.54839,1.02897,0.50074,1.08002,0.001684,0.001684,0.001684
86,11154.7,0.92999,0.411,0.95827,0.88715,0.77022,0.85255,0.54901,1.02804,0.50361,1.07784,0.001585,0.001585,0.001585
87,11284.1,0.9336,0.41123,0.95666,0.8876,0.77018,0.85309,0.54979,1.02787,0.50457,1.07845,0.001486,0.001486,0.001486
88,11413.8,0.92278,0.40839,0.95552,0.88572,0.77009,0.8516,0.5494,1.0262,0.50374,1.07935,0.001387,0.001387,0.001387
89,11543.9,0.92031,0.40685,0.95467,0.88956,0.76727,0.85059,0.54669,1.02781,0.50134,1.08114,0.001288,0.001288,0.001288
90,11674,0.9211,0.40817,0.95369,0.88806,0.76736,0.85081,0.54735,1.02731,0.50115,1.08118,0.001189,0.001189,0.001189
91,11804.9,0.90277,0.39907,0.94637,0.89151,0.76388,0.85032,0.54774,1.02747,0.50239,1.08171,0.00109,0.00109,0.00109
92,11934.3,0.89689,0.39611,0.94691,0.88936,0.76816,0.85204,0.54907,1.02722,0.503,1.08186,0.000991,0.000991,0.000991
93,12063.4,0.8947,0.39497,0.95012,0.88746,0.76981,0.8524,0.54938,1.02546,0.50087,1.08166,0.000892,0.000892,0.000892
94,12192.4,0.88629,0.3932,0.94606,0.89111,0.76715,0.85136,0.54942,1.02556,0.50122,1.08285,0.000793,0.000793,0.000793
95,12321.5,0.88605,0.39272,0.946,0.89305,0.76561,0.85083,0.54897,1.02432,0.50278,1.08185,0.000694,0.000694,0.000694
96,12450.8,0.87979,0.39053,0.94445,0.89133,0.7646,0.84996,0.54821,1.02572,0.50332,1.08313,0.000595,0.000595,0.000595
97,12580,0.87847,0.38844,0.94541,0.88938,0.76452,0.84896,0.54748,1.02635,0.50481,1.08408,0.000496,0.000496,0.000496
98,12709.3,0.87753,0.38947,0.94252,0.88967,0.76323,0.84825,0.54741,1.02654,0.50554,1.08408,0.000397,0.000397,0.000397
99,12838.6,0.87749,0.38967,0.94362,0.89017,0.76384,0.84792,0.54726,1.0265,0.50656,1.08493,0.000298,0.000298,0.000298
100,12967.9,0.87547,0.38809,0.94249,0.89066,0.76339,0.84838,0.5476,1.02533,0.50709,1.08466,0.000199,0.000199,0.000199
